group	fill	key
1	#FF9476	1-1 1995.41369863014
2	#FF8565	1-10 1995.41369863014
3	#FF7E5D	1-11 1995.41369863014
4	#FF7C5B	1-12 1995.41369863014
5	#FF8160	1-13 1995.41369863014
6	#FF7958	1-14 1995.41369863014
7	#FF7958	1-15 1995.41369863014
8	#FF7E5D	1-16 1995.41369863014
9	#FF8160	1-17 1995.41369863014
10	#FF997B	1-18 1995.41369863014
11	#FFA084	1-19 1995.41369863014
12	#FF8F70	1-2 1995.41369863014
13	#FF7250	1-20 1995.41369863014
14	#FF5131	1-21 1995.41369863014
15	#FF4729	1-22 1995.41369863014
16	#FF4E2F	1-23 1995.41369863014
17	#FF7250	1-24 1995.41369863014
18	#FF8A6B	1-3 1995.41369863014
19	#FF8565	1-4 1995.41369863014
20	#FF8362	1-5 1995.41369863014
21	#FF8362	1-6 1995.41369863014
22	#FF8362	1-7 1995.41369863014
23	#FF8565	1-8 1995.41369863014
24	#FF8868	1-9 1995.41369863014
25	#FFA58A	10-1 1995.41369863014
26	#FF9678	10-10 1995.41369863014
27	#FF8A6B	10-11 1995.41369863014
28	#FF8F70	10-12 1995.41369863014
29	#FF7755	10-13 1995.41369863014
30	#FF6F4D	10-14 1995.41369863014
31	#FF7E5D	10-15 1995.41369863014
32	#FF8A6B	10-16 1995.41369863014
33	#FF7250	10-17 1995.41369863014
34	#FF7250	10-18 1995.41369863014
35	#FF6F4D	10-19 1995.41369863014
36	#FFA287	10-2 1995.41369863014
37	#FF7452	10-20 1995.41369863014
38	#FF7452	10-21 1995.41369863014
39	#FF7958	10-22 1995.41369863014
40	#FF7E5D	10-23 1995.41369863014
41	#FF8C6D	10-24 1995.41369863014
42	#FFA58A	10-3 1995.41369863014
43	#FFA084	10-4 1995.41369863014
44	#FF9D81	10-5 1995.41369863014
45	#FF9678	10-6 1995.41369863014
46	#FF9273	10-7 1995.41369863014
47	#FF9476	10-8 1995.41369863014
48	#FF997B	10-9 1995.41369863014
49	#FFA58A	11-1 1995.41369863014
50	#FF9678	11-10 1995.41369863014
51	#FF8F70	11-11 1995.41369863014
52	#FF8C6D	11-12 1995.41369863014
53	#FF7755	11-13 1995.41369863014
54	#FF6C4B	11-14 1995.41369863014
55	#FF8565	11-15 1995.41369863014
56	#FF8A6B	11-16 1995.41369863014
57	#FF7958	11-17 1995.41369863014
58	#FF7250	11-18 1995.41369863014
59	#FF6C4B	11-19 1995.41369863014
60	#FFA88D	11-2 1995.41369863014
61	#FF7452	11-20 1995.41369863014
62	#FF7452	11-21 1995.41369863014
63	#FF8160	11-22 1995.41369863014
64	#FF8868	11-23 1995.41369863014
65	#FF8F70	11-24 1995.41369863014
66	#FFA58A	11-3 1995.41369863014
67	#FFA287	11-4 1995.41369863014
68	#FF9D81	11-5 1995.41369863014
69	#FF9678	11-6 1995.41369863014
70	#FF9476	11-7 1995.41369863014
71	#FF9678	11-8 1995.41369863014
72	#FF9B7E	11-9 1995.41369863014
73	#FFA88D	12-1 1995.41369863014
74	#FF997B	12-10 1995.41369863014
75	#FF8A6B	12-11 1995.41369863014
76	#FF8868	12-12 1995.41369863014
77	#FF7C5B	12-13 1995.41369863014
78	#FF8362	12-14 1995.41369863014
79	#FF9678	12-15 1995.41369863014
80	#FF7755	12-16 1995.41369863014
81	#FF6C4B	12-17 1995.41369863014
82	#FF7452	12-18 1995.41369863014
83	#FF6948	12-19 1995.41369863014
84	#FFAA90	12-2 1995.41369863014
85	#FF7452	12-20 1995.41369863014
86	#FF6F4D	12-21 1995.41369863014
87	#FF8362	12-22 1995.41369863014
88	#FF8C6D	12-23 1995.41369863014
89	#FF9678	12-24 1995.41369863014
90	#FFA88D	12-3 1995.41369863014
91	#FFA58A	12-4 1995.41369863014
92	#FFA287	12-5 1995.41369863014
93	#FF9B7E	12-6 1995.41369863014
94	#FF997B	12-7 1995.41369863014
95	#FF9B7E	12-8 1995.41369863014
96	#FFA287	12-9 1995.41369863014
97	#FFAA90	13-1 1995.41369863014
98	#FF9678	13-10 1995.41369863014
99	#FF8A6B	13-11 1995.41369863014
100	#FF8A6B	13-12 1995.41369863014
101	#FF8C6D	13-13 1995.41369863014
102	#FF7958	13-14 1995.41369863014
103	#FF7E5D	13-15 1995.41369863014
104	#FF7755	13-16 1995.41369863014
105	#FF6948	13-17 1995.41369863014
106	#FF6F4D	13-18 1995.41369863014
107	#FF6C4B	13-19 1995.41369863014
108	#FFAA90	13-2 1995.41369863014
109	#FF7452	13-20 1995.41369863014
110	#FF7958	13-21 1995.41369863014
111	#FF8868	13-22 1995.41369863014
112	#FF8C6D	13-23 1995.41369863014
113	#FFA58A	13-24 1995.41369863014
114	#FFA88D	13-3 1995.41369863014
115	#FFA88D	13-4 1995.41369863014
116	#FFA287	13-5 1995.41369863014
117	#FF9D81	13-6 1995.41369863014
118	#FFA084	13-7 1995.41369863014
119	#FFA58A	13-8 1995.41369863014
120	#FFA084	13-9 1995.41369863014
121	#FFAA90	14-1 1995.41369863014
122	#FF9476	14-10 1995.41369863014
123	#FF8A6B	14-11 1995.41369863014
124	#FF8A6B	14-12 1995.41369863014
125	#FF9B7E	14-13 1995.41369863014
126	#FF7452	14-14 1995.41369863014
127	#FF6F4D	14-15 1995.41369863014
128	#FF7250	14-16 1995.41369863014
129	#FF6746	14-17 1995.41369863014
130	#FF6F4D	14-18 1995.41369863014
131	#FF6948	14-19 1995.41369863014
132	#FFAE95	14-2 1995.41369863014
133	#FF7958	14-20 1995.41369863014
134	#FF7E5D	14-21 1995.41369863014
135	#FF8160	14-22 1995.41369863014
136	#FF8C6D	14-23 1995.41369863014
137	#FFA58A	14-24 1995.41369863014
138	#FFAC93	14-3 1995.41369863014
139	#FFAC93	14-4 1995.41369863014
140	#FFA88D	14-5 1995.41369863014
141	#FFA58A	14-6 1995.41369863014
142	#FFA58A	14-7 1995.41369863014
143	#FF9B7E	14-8 1995.41369863014
144	#FF997B	14-9 1995.41369863014
145	#FFAE95	15-1 1995.41369863014
146	#FFAE95	15-10 1995.41369863014
147	#FF8F70	15-11 1995.41369863014
148	#FF8A6B	15-12 1995.41369863014
149	#FF8A6B	15-13 1995.41369863014
150	#FF7250	15-14 1995.41369863014
151	#FF7452	15-15 1995.41369863014
152	#FF7452	15-16 1995.41369863014
153	#FF7250	15-17 1995.41369863014
154	#FF7250	15-18 1995.41369863014
155	#FF6F4D	15-19 1995.41369863014
156	#FFB198	15-2 1995.41369863014
157	#FF7452	15-20 1995.41369863014
158	#FF6F4D	15-21 1995.41369863014
159	#FF7958	15-22 1995.41369863014
160	#FF8A6B	15-23 1995.41369863014
161	#FFA084	15-24 1995.41369863014
162	#FFAE95	15-3 1995.41369863014
163	#FFAE95	15-4 1995.41369863014
164	#FFA88D	15-5 1995.41369863014
165	#FFA88D	15-6 1995.41369863014
166	#FF9678	15-7 1995.41369863014
167	#FFB198	15-8 1995.41369863014
168	#FFBBA5	15-9 1995.41369863014
169	#FFAE95	16-1 1995.41369863014
170	#FFB8A1	16-10 1995.41369863014
171	#FFB8A1	16-11 1995.41369863014
172	#FFAE95	16-12 1995.41369863014
173	#FF8362	16-13 1995.41369863014
174	#FF7452	16-14 1995.41369863014
175	#FF7755	16-15 1995.41369863014
176	#FF7755	16-16 1995.41369863014
177	#FF7452	16-17 1995.41369863014
178	#FF7452	16-18 1995.41369863014
179	#FF7452	16-19 1995.41369863014
180	#FFB198	16-2 1995.41369863014
181	#FF6F4D	16-20 1995.41369863014
182	#FF7755	16-21 1995.41369863014
183	#FF7958	16-22 1995.41369863014
184	#FF8565	16-23 1995.41369863014
185	#FF9B7E	16-24 1995.41369863014
186	#FFAE95	16-3 1995.41369863014
187	#FFAE95	16-4 1995.41369863014
188	#FFBBA5	16-5 1995.41369863014
189	#FFAE95	16-6 1995.41369863014
190	#FFA084	16-7 1995.41369863014
191	#FF997B	16-8 1995.41369863014
192	#FFA88D	16-9 1995.41369863014
193	#FFB69E	17-1 1995.41369863014
194	#FFA88D	17-10 1995.41369863014
195	#FFAE95	17-11 1995.41369863014
196	#FFAC93	17-12 1995.41369863014
197	#FF8565	17-13 1995.41369863014
198	#FF7C5B	17-14 1995.41369863014
199	#FF7958	17-15 1995.41369863014
200	#FF7452	17-16 1995.41369863014
201	#FF7755	17-17 1995.41369863014
202	#FF7755	17-18 1995.41369863014
203	#FF7452	17-19 1995.41369863014
204	#FFAC93	17-2 1995.41369863014
205	#FF7755	17-20 1995.41369863014
206	#FF7C5B	17-21 1995.41369863014
207	#FF8565	17-22 1995.41369863014
208	#FF8A6B	17-23 1995.41369863014
209	#FF8868	17-24 1995.41369863014
210	#FFAE95	17-3 1995.41369863014
211	#FFC5B2	17-4 1995.41369863014
212	#FFA88D	17-5 1995.41369863014
213	#FF9D81	17-6 1995.41369863014
214	#FF8C6D	17-7 1995.41369863014
215	#FF9476	17-8 1995.41369863014
216	#FF9D81	17-9 1995.41369863014
217	#FFB39B	18-1 1995.41369863014
218	#FFA58A	18-10 1995.41369863014
219	#FF9D81	18-11 1995.41369863014
220	#FFA58A	18-12 1995.41369863014
221	#FF8C6D	18-13 1995.41369863014
222	#FF7755	18-14 1995.41369863014
223	#FF7755	18-15 1995.41369863014
224	#FF7755	18-16 1995.41369863014
225	#FF8362	18-17 1995.41369863014
226	#FF7958	18-18 1995.41369863014
227	#FF7C5B	18-19 1995.41369863014
228	#FFB8A1	18-2 1995.41369863014
229	#FF7C5B	18-20 1995.41369863014
230	#FF7E5D	18-21 1995.41369863014
231	#FF8362	18-22 1995.41369863014
232	#FF9273	18-23 1995.41369863014
233	#FF8A6B	18-24 1995.41369863014
