group	fill	key
1	#EEE2FF	1999.08493150685 1-1
2	#F0E5FF	1999.08493150685 1-10
3	#F2E8FF	1999.08493150685 1-11
4	#F6EEFF	1999.08493150685 1-12
5	#F4EBFF	1999.08493150685 1-13
6	#F6EEFF	1999.08493150685 1-14
7	#F6EFFF	1999.08493150685 1-15
8	#F2E8FF	1999.08493150685 1-16
9	#F8F3FF	1999.08493150685 1-17
10	#F3E9FF	1999.08493150685 1-18
11	#ECDFFF	1999.08493150685 1-19
12	#F6EFFF	1999.08493150685 1-2
13	#EEE2FF	1999.08493150685 1-20
14	#FBF7FF	1999.08493150685 1-21
15	#FFECE5	1999.08493150685 1-22
16	#FFF0EB	1999.08493150685 1-23
17	#FFD8CB	1999.08493150685 1-24
18	#F3EAFF	1999.08493150685 1-3
19	#FFFBFA	1999.08493150685 1-4
20	#FEFEFF	1999.08493150685 1-5
21	#F5EDFF	1999.08493150685 1-6
22	#FFFBF9	1999.08493150685 1-7
23	#FFFEFE	1999.08493150685 1-8
24	#F1E6FF	1999.08493150685 1-9
25	#D8BEFF	1999.08493150685 10-1
26	#D5BAFF	1999.08493150685 10-10
27	#D7BDFF	1999.08493150685 10-11
28	#ECDFFF	1999.08493150685 10-12
29	#EBDDFF	1999.08493150685 10-13
30	#F7F1FF	1999.08493150685 10-14
31	#F4EBFF	1999.08493150685 10-15
32	#F6EFFF	1999.08493150685 10-16
33	#FBF7FF	1999.08493150685 10-17
34	#FFFDFC	1999.08493150685 10-18
35	#FFF7F5	1999.08493150685 10-19
36	#E4D1FF	1999.08493150685 10-2
37	#FBF9FF	1999.08493150685 10-20
38	#FFE3D9	1999.08493150685 10-21
39	#FFE2D8	1999.08493150685 10-22
40	#FFDACD	1999.08493150685 10-23
41	#FFB8A1	1999.08493150685 10-24
42	#EEE1FF	1999.08493150685 10-3
43	#EDE0FF	1999.08493150685 10-4
44	#F0E4FF	1999.08493150685 10-5
45	#F5EDFF	1999.08493150685 10-6
46	#F5EDFF	1999.08493150685 10-7
47	#D7BDFF	1999.08493150685 10-8
48	#DEC7FF	1999.08493150685 10-9
49	#D8BEFF	1999.08493150685 11-1
50	#DFC9FF	1999.08493150685 11-10
51	#DBC3FF	1999.08493150685 11-11
52	#EEE2FF	1999.08493150685 11-12
53	#EBDDFF	1999.08493150685 11-13
54	#E9D8FF	1999.08493150685 11-14
55	#F2E9FF	1999.08493150685 11-15
56	#F6EFFF	1999.08493150685 11-16
57	#F2E9FF	1999.08493150685 11-17
58	#FFFDFC	1999.08493150685 11-18
59	#FAF7FF	1999.08493150685 11-19
60	#E7D6FF	1999.08493150685 11-2
61	#FFFFFF	1999.08493150685 11-20
62	#FFE3D9	1999.08493150685 11-21
63	#FFDCD0	1999.08493150685 11-22
64	#FFD8CA	1999.08493150685 11-23
65	#FFC7B4	1999.08493150685 11-24
66	#EEE1FF	1999.08493150685 11-3
67	#E6D4FF	1999.08493150685 11-4
68	#E9D8FF	1999.08493150685 11-5
69	#F5EDFF	1999.08493150685 11-6
70	#E9D9FF	1999.08493150685 11-7
71	#D0B3FF	1999.08493150685 11-8
72	#DCC5FF	1999.08493150685 11-9
73	#D7BDFF	1999.08493150685 12-1
74	#E0CBFF	1999.08493150685 12-10
75	#DEC7FF	1999.08493150685 12-11
76	#EEE2FF	1999.08493150685 12-12
77	#E5D2FF	1999.08493150685 12-13
78	#F9F5FF	1999.08493150685 12-14
79	#FFF5F1	1999.08493150685 12-15
80	#F6EFFF	1999.08493150685 12-16
81	#FEFDFF	1999.08493150685 12-17
82	#FFF8F5	1999.08493150685 12-18
83	#FFFFFF	1999.08493150685 12-19
84	#F0E4FF	1999.08493150685 12-2
85	#FFE5DC	1999.08493150685 12-20
86	#FFDDD1	1999.08493150685 12-21
87	#FFD0C0	1999.08493150685 12-22
88	#FFD5C7	1999.08493150685 12-23
89	#FFCBB9	1999.08493150685 12-24
90	#EEE1FF	1999.08493150685 12-3
91	#EDDFFF	1999.08493150685 12-4
92	#F7F1FF	1999.08493150685 12-5
93	#F7F0FF	1999.08493150685 12-6
94	#E5D2FF	1999.08493150685 12-7
95	#DBC4FF	1999.08493150685 12-8
96	#DFC9FF	1999.08493150685 12-9
97	#E0CBFF	1999.08493150685 13-1
98	#D8BFFF	1999.08493150685 13-10
99	#EDE0FF	1999.08493150685 13-11
100	#EFE4FF	1999.08493150685 13-12
101	#FCF9FF	1999.08493150685 13-13
102	#F1E7FF	1999.08493150685 13-14
103	#EEE2FF	1999.08493150685 13-15
104	#FCFAFF	1999.08493150685 13-16
105	#FAF6FF	1999.08493150685 13-17
106	#FFFAF8	1999.08493150685 13-18
107	#FFF3EE	1999.08493150685 13-19
108	#F4EBFF	1999.08493150685 13-2
109	#FFE5DC	1999.08493150685 13-20
110	#FFCCBA	1999.08493150685 13-21
111	#FFE8E0	1999.08493150685 13-22
112	#FFECE5	1999.08493150685 13-23
113	#FFD1C1	1999.08493150685 13-24
114	#EEE1FF	1999.08493150685 13-3
115	#F8F3FF	1999.08493150685 13-4
116	#F0E5FF	1999.08493150685 13-5
117	#F9F4FF	1999.08493150685 13-6
118	#EEE1FF	1999.08493150685 13-7
119	#DFC9FF	1999.08493150685 13-8
120	#E4D2FF	1999.08493150685 13-9
121	#E8D7FF	1999.08493150685 14-1
122	#DEC7FF	1999.08493150685 14-10
123	#DEC7FF	1999.08493150685 14-11
124	#F8F3FF	1999.08493150685 14-12
125	#FEFEFF	1999.08493150685 14-13
126	#F5EDFF	1999.08493150685 14-14
127	#F7F1FF	1999.08493150685 14-15
128	#FFFDFC	1999.08493150685 14-16
129	#FFF7F5	1999.08493150685 14-17
130	#FFF6F3	1999.08493150685 14-18
131	#FFF2EE	1999.08493150685 14-19
132	#F7F1FF	1999.08493150685 14-2
133	#FFD3C3	1999.08493150685 14-20
134	#FFEEE7	1999.08493150685 14-21
135	#FFEDE7	1999.08493150685 14-22
136	#FFECE5	1999.08493150685 14-23
137	#FFD1C1	1999.08493150685 14-24
138	#F5EEFF	1999.08493150685 14-3
139	#F0E5FF	1999.08493150685 14-4
140	#F8F2FF	1999.08493150685 14-5
141	#FEFDFF	1999.08493150685 14-6
142	#EDE0FF	1999.08493150685 14-7
143	#E5D2FF	1999.08493150685 14-8
144	#DEC8FF	1999.08493150685 14-9
145	#F5EDFF	1999.08493150685 15-1
146	#F2E9FF	1999.08493150685 15-10
147	#D3B7FF	1999.08493150685 15-11
148	#E9DAFF	1999.08493150685 15-12
149	#F6EEFF	1999.08493150685 15-13
150	#F2E7FF	1999.08493150685 15-14
151	#F4ECFF	1999.08493150685 15-15
152	#FEFEFF	1999.08493150685 15-16
153	#FFFAF8	1999.08493150685 15-17
154	#FFFAF8	1999.08493150685 15-18
155	#FFF0EA	1999.08493150685 15-19
156	#ECDEFF	1999.08493150685 15-2
157	#FFF9F7	1999.08493150685 15-20
158	#FFEDE7	1999.08493150685 15-21
159	#FFF0EA	1999.08493150685 15-22
160	#FFE9E1	1999.08493150685 15-23
161	#FFD3C4	1999.08493150685 15-24
162	#EBDDFF	1999.08493150685 15-3
163	#EFE4FF	1999.08493150685 15-4
164	#FFF0EA	1999.08493150685 15-5
165	#F3EAFF	1999.08493150685 15-6
166	#FFF3EF	1999.08493150685 15-7
167	#DFCAFF	1999.08493150685 15-8
168	#D9C1FF	1999.08493150685 15-9
169	#F4ECFF	1999.08493150685 16-1
170	#CAABFF	1999.08493150685 16-10
171	#E8D7FF	1999.08493150685 16-11
172	#E5D2FF	1999.08493150685 16-12
173	#ECDEFF	1999.08493150685 16-13
174	#E0CBFF	1999.08493150685 16-14
175	#F3E9FF	1999.08493150685 16-15
176	#FAF6FF	1999.08493150685 16-16
177	#FEFEFF	1999.08493150685 16-17
178	#FFFAF8	1999.08493150685 16-18
179	#FDFBFF	1999.08493150685 16-19
180	#EBDCFF	1999.08493150685 16-2
181	#FFF5F2	1999.08493150685 16-20
182	#FFEBE3	1999.08493150685 16-21
183	#FFF0EA	1999.08493150685 16-22
184	#FFF7F4	1999.08493150685 16-23
185	#FFF7F4	1999.08493150685 16-24
186	#F2E9FF	1999.08493150685 16-3
187	#FFD7C9	1999.08493150685 16-4
188	#FFF3EE	1999.08493150685 16-5
189	#FFFCFB	1999.08493150685 16-6
190	#E6D4FF	1999.08493150685 16-7
191	#E8D7FF	1999.08493150685 16-8
192	#E1CDFF	1999.08493150685 16-9
193	#F3EAFF	1999.08493150685 17-1
194	#D9BFFF	1999.08493150685 17-10
195	#CFB1FF	1999.08493150685 17-11
196	#DFC9FF	1999.08493150685 17-12
197	#CCADFF	1999.08493150685 17-13
198	#E6D3FF	1999.08493150685 17-14
199	#F1E6FF	1999.08493150685 17-15
200	#F8F3FF	1999.08493150685 17-16
201	#F5EEFF	1999.08493150685 17-17
202	#FBF9FF	1999.08493150685 17-18
203	#FDFBFF	1999.08493150685 17-19
204	#EDE0FF	1999.08493150685 17-2
205	#F9F5FF	1999.08493150685 17-20
206	#FFE2D8	1999.08493150685 17-21
207	#FFEBE3	1999.08493150685 17-22
208	#FFD9CC	1999.08493150685 17-23
209	#FFE3D9	1999.08493150685 17-24
210	#F6EFFF	1999.08493150685 17-3
211	#F0E4FF	1999.08493150685 17-4
212	#F6EFFF	1999.08493150685 17-5
213	#F3EAFF	1999.08493150685 17-6
214	#F7F0FF	1999.08493150685 17-7
215	#ECDFFF	1999.08493150685 17-8
216	#ECDFFF	1999.08493150685 17-9
217	#E6D4FF	1999.08493150685 18-1
218	#D4B8FF	1999.08493150685 18-10
219	#D9BFFF	1999.08493150685 18-11
220	#CBACFF	1999.08493150685 18-12
221	#D1B5FF	1999.08493150685 18-13
222	#F5EEFF	1999.08493150685 18-14
223	#EDE0FF	1999.08493150685 18-15
224	#FBF8FF	1999.08493150685 18-16
225	#FAF6FF	1999.08493150685 18-17
226	#F9F5FF	1999.08493150685 18-18
227	#F9F4FF	1999.08493150685 18-19
228	#FFE8E0	1999.08493150685 18-2
229	#FCF9FF	1999.08493150685 18-20
230	#FFF2ED	1999.08493150685 18-21
231	#FFE9E1	1999.08493150685 18-22
232	#FFE2D7	1999.08493150685 18-23
233	#FFE0D5	1999.08493150685 18-24
234	#FFCCBB	1999.08493150685 18-3
235	#D1B5FF	1999.08493150685 18-4
236	#F6EFFF	1999.08493150685 18-5
237	#F8F3FF	1999.08493150685 18-6
238	#FFF0EA	1999.08493150685 18-7
239	#FDFBFF	1999.08493150685 18-8
240	#F9F4FF	1999.08493150685 18-9
241	#FFB7A0	1999.08493150685 19-1
242	#ECDEFF	1999.08493150685 19-10
243	#E5D2FF	1999.08493150685 19-11
244	#DEC7FF	1999.08493150685 19-12
245	#DAC2FF	1999.08493150685 19-13
246	#F0E5FF	1999.08493150685 19-14
247	#F4ECFF	1999.08493150685 19-15
248	#FBF8FF	1999.08493150685 19-16
249	#F2E8FF	1999.08493150685 19-17
250	#F5EEFF	1999.08493150685 19-18
251	#FEFEFF	1999.08493150685 19-19
252	#E2CDFF	1999.08493150685 19-2
253	#F6F0FF	1999.08493150685 19-20
254	#FFF2ED	1999.08493150685 19-21
255	#FFEBE4	1999.08493150685 19-22
256	#FFE4DA	1999.08493150685 19-23
257	#FFE0D5	1999.08493150685 19-24
258	#B993FF	1999.08493150685 19-3
259	#FCFAFF	1999.08493150685 19-4
260	#F8F3FF	1999.08493150685 19-5
261	#FBF9FF	1999.08493150685 19-6
262	#FBF8FF	1999.08493150685 19-7
263	#FFFFFE	1999.08493150685 19-8
264	#FDFCFF	1999.08493150685 19-9
265	#F2E7FF	1999.08493150685 2-1
266	#F1E6FF	1999.08493150685 2-10
267	#EEE2FF	1999.08493150685 2-11
268	#ECDEFF	1999.08493150685 2-12
269	#F5EEFF	1999.08493150685 2-13
270	#F1E6FF	1999.08493150685 2-14
271	#F9F5FF	1999.08493150685 2-15
272	#F4ECFF	1999.08493150685 2-16
273	#F8F3FF	1999.08493150685 2-17
274	#FBF8FF	1999.08493150685 2-18
275	#F6EFFF	1999.08493150685 2-19
276	#F6EFFF	1999.08493150685 2-2
277	#FDFCFF	1999.08493150685 2-20
278	#FFD8CA	1999.08493150685 2-21
279	#FFECE5	1999.08493150685 2-22
280	#FFF0EB	1999.08493150685 2-23
281	#FFF0EB	1999.08493150685 2-24
282	#F3EAFF	1999.08493150685 2-3
283	#F8F3FF	1999.08493150685 2-4
284	#FBF8FF	1999.08493150685 2-5
285	#FBF9FF	1999.08493150685 2-6
286	#FFFEFD	1999.08493150685 2-7
287	#FFF5F1	1999.08493150685 2-8
288	#F6F0FF	1999.08493150685 2-9
289	#E1CCFF	1999.08493150685 20-1
290	#F2E8FF	1999.08493150685 20-10
291	#EDE0FF	1999.08493150685 20-11
292	#F5EEFF	1999.08493150685 20-12
293	#E5D2FF	1999.08493150685 20-13
294	#EFE3FF	1999.08493150685 20-14
295	#EDE0FF	1999.08493150685 20-15
296	#FEFDFF	1999.08493150685 20-16
297	#F2E8FF	1999.08493150685 20-17
298	#F2E8FF	1999.08493150685 20-18
299	#F1E6FF	1999.08493150685 20-19
300	#E2CDFF	1999.08493150685 20-2
301	#F6F0FF	1999.08493150685 20-20
302	#FBF7FF	1999.08493150685 20-21
303	#F9F5FF	1999.08493150685 20-22
304	#FFE4DA	1999.08493150685 20-23
305	#FFD9CB	1999.08493150685 20-24
306	#FFF6F2	1999.08493150685 20-3
307	#FFCEBD	1999.08493150685 20-4
308	#FFF0EA	1999.08493150685 20-5
309	#FBF7FF	1999.08493150685 20-6
310	#FFFBFA	1999.08493150685 20-7
311	#FCF9FF	1999.08493150685 20-8
312	#FFF3EF	1999.08493150685 20-9
313	#E6D5FF	1999.08493150685 21-1
314	#FFFDFD	1999.08493150685 21-10
315	#FFFCFB	1999.08493150685 21-11
316	#E4D1FF	1999.08493150685 21-12
317	#E7D5FF	1999.08493150685 21-13
318	#F7F1FF	1999.08493150685 21-14
319	#F4ECFF	1999.08493150685 21-15
320	#F5EEFF	1999.08493150685 21-16
321	#FCFAFF	1999.08493150685 21-17
322	#F2E8FF	1999.08493150685 21-18
323	#F1E6FF	1999.08493150685 21-19
324	#FFE3D9	1999.08493150685 21-2
325	#F7F0FF	1999.08493150685 21-20
326	#FFFCFB	1999.08493150685 21-21
327	#FFFDFC	1999.08493150685 21-22
328	#FFE6DC	1999.08493150685 21-23
329	#FFE1D6	1999.08493150685 21-24
330	#FFE4DA	1999.08493150685 21-3
331	#FEFEFF	1999.08493150685 21-4
332	#FEFEFF	1999.08493150685 21-5
333	#FFF3EF	1999.08493150685 21-6
334	#FFFDFD	1999.08493150685 21-7
335	#FFFBFA	1999.08493150685 21-8
336	#FFECE5	1999.08493150685 21-9
337	#FFFFFF	1999.08493150685 22-1
338	#F8F3FF	1999.08493150685 22-10
339	#E6D4FF	1999.08493150685 22-11
340	#F8F3FF	1999.08493150685 22-12
341	#EDE0FF	1999.08493150685 22-13
342	#FAF6FF	1999.08493150685 22-14
343	#F4ECFF	1999.08493150685 22-15
344	#F2E8FF	1999.08493150685 22-16
345	#F3EAFF	1999.08493150685 22-17
346	#ECDFFF	1999.08493150685 22-18
347	#F5EDFF	1999.08493150685 22-19
348	#FFF3EF	1999.08493150685 22-2
349	#F4EBFF	1999.08493150685 22-20
350	#FFFCFB	1999.08493150685 22-21
351	#FFFBFA	1999.08493150685 22-22
352	#FFEEE8	1999.08493150685 22-23
353	#FFDDD1	1999.08493150685 22-24
354	#FFE0D4	1999.08493150685 22-3
355	#FFF0EA	1999.08493150685 22-4
356	#FFF4F0	1999.08493150685 22-5
357	#FFDACD	1999.08493150685 22-6
358	#FFDACD	1999.08493150685 22-7
359	#FFFEFD	1999.08493150685 22-8
360	#FFF2EC	1999.08493150685 22-9
361	#FFE3D9	1999.08493150685 23-1
362	#FFFFFF	1999.08493150685 23-10
363	#FFEDE7	1999.08493150685 23-11
