group	fill	key
1	#FFFDFD	2000.24863387978 1-1
2	#F3EAFF	2000.24863387978 1-10
3	#EADAFF	2000.24863387978 1-11
4	#DFC9FF	2000.24863387978 1-12
5	#E6D3FF	2000.24863387978 1-13
6	#DDC6FF	2000.24863387978 1-14
7	#F0E5FF	2000.24863387978 1-15
8	#E3D0FF	2000.24863387978 1-16
9	#F0E5FF	2000.24863387978 1-17
10	#E7D6FF	2000.24863387978 1-18
11	#EFE3FF	2000.24863387978 1-19
12	#FDFBFF	2000.24863387978 1-2
13	#F8F3FF	2000.24863387978 1-20
14	#FFEBE3	2000.24863387978 1-21
15	#FFCFBF	2000.24863387978 1-22
16	#FFAB91	2000.24863387978 1-23
17	#FF7E5D	2000.24863387978 1-24
18	#F9F5FF	2000.24863387978 1-3
19	#F5EDFF	2000.24863387978 1-4
20	#EEE1FF	2000.24863387978 1-5
21	#EADAFF	2000.24863387978 1-6
22	#E4D1FF	2000.24863387978 1-7
23	#F0E5FF	2000.24863387978 1-8
24	#F0E4FF	2000.24863387978 1-9
25	#FAF7FF	2000.24863387978 10-1
26	#F9F5FF	2000.24863387978 10-10
27	#FFF3EF	2000.24863387978 10-11
28	#F2E8FF	2000.24863387978 10-12
29	#DBC3FF	2000.24863387978 10-13
30	#E1CCFF	2000.24863387978 10-14
31	#FAF7FF	2000.24863387978 10-15
32	#F7F1FF	2000.24863387978 10-16
33	#F1E6FF	2000.24863387978 10-17
34	#F2E8FF	2000.24863387978 10-18
35	#F3EAFF	2000.24863387978 10-19
36	#FFFDFC	2000.24863387978 10-2
37	#F3E9FF	2000.24863387978 10-20
38	#FAF7FF	2000.24863387978 10-21
39	#F8F3FF	2000.24863387978 10-22
40	#F8F2FF	2000.24863387978 10-23
41	#FFF3EE	2000.24863387978 10-24
42	#FEFEFF	2000.24863387978 10-3
43	#F9F4FF	2000.24863387978 10-4
44	#EEE2FF	2000.24863387978 10-5
45	#EADBFF	2000.24863387978 10-6
46	#F0E5FF	2000.24863387978 10-7
47	#E9D9FF	2000.24863387978 10-8
48	#FFF0EA	2000.24863387978 10-9
49	#FAF7FF	2000.24863387978 11-1
50	#FFFCFB	2000.24863387978 11-10
51	#FFF5F1	2000.24863387978 11-11
52	#F4ECFF	2000.24863387978 11-12
53	#DBC3FF	2000.24863387978 11-13
54	#DBC4FF	2000.24863387978 11-14
55	#FFF5F1	2000.24863387978 11-15
56	#F7F1FF	2000.24863387978 11-16
57	#F6EEFF	2000.24863387978 11-17
58	#F2E8FF	2000.24863387978 11-18
59	#F5EEFF	2000.24863387978 11-19
60	#FFF7F5	2000.24863387978 11-2
61	#F5EEFF	2000.24863387978 11-20
62	#FAF7FF	2000.24863387978 11-21
63	#F9F5FF	2000.24863387978 11-22
64	#F0E5FF	2000.24863387978 11-23
65	#F0E4FF	2000.24863387978 11-24
66	#FEFEFF	2000.24863387978 11-3
67	#F6F0FF	2000.24863387978 11-4
68	#EFE4FF	2000.24863387978 11-5
69	#EADBFF	2000.24863387978 11-6
70	#EDE0FF	2000.24863387978 11-7
71	#F4ECFF	2000.24863387978 11-8
72	#FFE4DA	2000.24863387978 11-9
73	#FBF9FF	2000.24863387978 12-1
74	#FCFAFF	2000.24863387978 12-10
75	#FFF3EF	2000.24863387978 12-11
76	#F6EFFF	2000.24863387978 12-12
77	#E5D3FF	2000.24863387978 12-13
78	#EDE0FF	2000.24863387978 12-14
79	#FFF0EA	2000.24863387978 12-15
80	#FEFDFF	2000.24863387978 12-16
81	#F6EFFF	2000.24863387978 12-17
82	#F6EEFF	2000.24863387978 12-18
83	#EBDDFF	2000.24863387978 12-19
84	#FFFBFA	2000.24863387978 12-2
85	#F0E5FF	2000.24863387978 12-20
86	#FDFCFF	2000.24863387978 12-21
87	#FDFBFF	2000.24863387978 12-22
88	#F6EFFF	2000.24863387978 12-23
89	#FAF6FF	2000.24863387978 12-24
90	#FAF7FF	2000.24863387978 12-3
91	#F8F2FF	2000.24863387978 12-4
92	#EEE2FF	2000.24863387978 12-5
93	#F4ECFF	2000.24863387978 12-6
94	#F6EFFF	2000.24863387978 12-7
95	#F4ECFF	2000.24863387978 12-8
96	#FFE2D8	2000.24863387978 12-9
97	#FBF8FF	2000.24863387978 13-1
98	#F7F1FF	2000.24863387978 13-10
99	#FAF6FF	2000.24863387978 13-11
100	#F6EFFF	2000.24863387978 13-12
101	#F5EDFF	2000.24863387978 13-13
102	#EBDCFF	2000.24863387978 13-14
103	#ECDEFF	2000.24863387978 13-15
104	#F2E8FF	2000.24863387978 13-16
105	#F7F1FF	2000.24863387978 13-17
106	#EFE4FF	2000.24863387978 13-18
107	#F4ECFF	2000.24863387978 13-19
108	#FEFEFF	2000.24863387978 13-2
